Designator,Mid X,Mid Y,Rotation,Layer
BT1,108.030597,69.025,90,top
BT2,80.530597,80.705,-90,top
C1,42.438597,46.675,90,top
C2,46.105597,46.675,90,top
C3,57.438597,46.5537,270,top
C4,61.105597,46.5537,270,top
C5,73.730597,36.7261,90,top
C6,25.530597,55.075,90,top
C7,31.030597,69.977799,270,top
CR1,36.130597,58.4394,270,top
CR2,38.605597,44.9744,90,top
D1,85.375197,37.015001,90,top
J1,28.030597,35.075,270,top
L1,49.005597,55.075,0,top
R1,50.230597,40.8003,270,top
R2,48.097597,40.8003,90,top
R3,75.375197,46.975001,0,top
R4,85.375197,41.197202,270,top
R5,29.108197,54.162,180,top
R6,29.108197,57.575,0,top
U1,51.813597,46.9562,180,top
U2,75.375197,41.025,180,top
U3,81.390397,46.975001,90,top
U4,51.5152,63.375001,270,top
U5,25.530597,62.535,270,top
